,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoals.,X3PointShots,X3PointShots.,TotalRebounds,Assists,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,v.TeamPoints,v.OpponentPoints,v.FieldGoals,v.FieldGoals.,v.X3PointShots,v.X3PointShots.,v.TotalRebounds,v.Assists,v.Blocks,v.Opp.FieldGoals,v.Opp.FieldGoals.,v.Opp.3PointShots,v.Opp.3PointShots.,v.Opp.TotalRebounds,v.Opp.Assists,v.Opp.Blocks,h._ATL,h._BOS,h._BRK,h._CHI,h._CHO,h._CLE,h._DAL,h._DEN,h._DET,h._GSW,h._HOU,h._IND,h._LAC,h._LAL,h._MEM,h._MIA,h._MIL,h._MIN,h._NOP,h._NYK,h._OKC,h._ORL,h._PHI,h._PHO,h._POR,h._SAC,h._SAS,h._TOR,h._UTA,h._WAS,a._ATL,a._BOS,a._BRK,a._CHI,a._CHO,a._CLE,a._DAL,a._DEN,a._DET,a._GSW,a._HOU,a._IND,a._LAC,a._LAL,a._MEM,a._MIA,a._MIL,a._MIN,a._NOP,a._NYK,a._OKC,a._ORL,a._PHI,a._PHO,a._POR,a._SAC,a._SAS,a._TOR,a._UTA,a._WAS
0,0,0.17050032696270281,-1.0180937764492484,0.23424726326146525,0.4588543068453699,0.8402682941846696,0.16541955422906127,-0.9363777433777853,1.6011464514731988,1.2007828892583476,0.6310858487316681,-1.0569284815287079,-0.9211623512342396,-1.5456979456107378,-0.3440691162158405,0.07656231265802745,-0.8519646580310147,1.240315242089499,-0.1276378554173968,1.2853528294317789,-0.23302991726928024,-0.06885590127339862,-0.444798251846758,-0.21001478775166627,-0.7404418216444396,0.3110780493364527,-0.2985788634424965,1.6315672801279706,-1.2378846038440248,-1.480720004545568,0.27503899586615416,0.7321228627188114,-1.5739331912001173,0.4147511564991054,-0.7997166402766936,-0.41812400912594816,-1.093448073340465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.17050032696270281,-1.0180937764492484,0.23424726326146525,0.4588543068453699,0.8402682941846696,0.16541955422906127,-0.9363777433777853,1.6011464514731988,1.2007828892583476,0.6310858487316681,-1.0569284815287079,-0.9211623512342396,-1.5456979456107378,-0.3440691162158405,0.07656231265802745,-0.8519646580310147,1.240315242089499,-0.1276378554173968,1.2853528294317789,-0.23302991726928024,-0.06885590127339862,-0.444798251846758,-0.21001478775166627,-0.7404418216444396,0.3110780493364527,-0.2985788634424965,1.6315672801279706,-1.2378846038440248,-1.480720004545568,0.27503899586615416,0.7321228627188114,-1.5739331912001173,0.4147511564991054,-0.7997166402766936,-0.41812400912594816,-1.093448073340465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0.9049632738789828,-0.06589603731062867,0.621966871418371,-0.7616197127296345,0.082239024537224,-0.9822215024970464,0.7377521614491744,0.8690341124051713,-0.8619116444369717,-0.32606102184469404,1.0569284815287052,-0.5981006735501995,-0.7207574366481356,-0.7686650468651748,-0.49765503227718494,-1.4656680133923456,0.9385353778341424,-0.875859766484886,-0.15023604499851906,0.41228369978410934,-0.06885590127339862,-0.444798251846758,-0.21001478775166627,-0.7404418216444396,0.3110780493364527,-0.2985788634424965,1.6315672801279706,-1.2378846038440248,-1.480720004545568,0.27503899586615416,0.7321228627188114,-1.5739331912001173,0.4147511564991054,-0.7997166402766936,-0.41812400912594816,-1.093448073340465,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0.9049632738789828,-0.06589603731062867,0.621966871418371,-0.7616197127296345,0.082239024537224,-0.9822215024970464,0.7377521614491744,0.8690341124051713,-0.8619116444369717,-0.32606102184469404,1.0569284815287052,-0.5981006735501995,-0.7207574366481356,-0.7686650468651748,-0.49765503227718494,-1.4656680133923456,0.9385353778341424,-0.875859766484886,-0.15023604499851906,0.41228369978410934,-0.06885590127339862,-0.444798251846758,-0.21001478775166627,-0.7404418216444396,0.3110780493364527,-0.2985788634424965,1.6315672801279706,-1.2378846038440248,-1.480720004545568,0.27503899586615416,0.7321228627188114,-1.5739331912001173,0.4147511564991054,-0.7997166402766936,-0.41812400912594816,-1.093448073340465,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,-1.0164442568930419,0.8401744757105492,-0.0726974265294157,0.1090269207717999,-1.2049804899584364,-0.07138437194947354,-0.737752161449158,0.0027943219048405014,-1.1565822921077342,0.35761531428127935,-2.022989808536842,1.7069880537089666,2.2077340142271016,1.1346960215628767,0.6507796575932417,1.31244273120412,-0.32290445475322965,1.7121077847367798,1.4188959805415766,0.12547764776038065,-0.06885590127339862,-0.444798251846758,-0.21001478775166627,-0.7404418216444396,0.3110780493364527,-0.2985788634424965,1.6315672801279706,-1.2378846038440248,-1.480720004545568,0.27503899586615416,0.7321228627188114,-1.5739331912001173,0.4147511564991054,-0.7997166402766936,-0.41812400912594816,-1.093448073340465,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,-1.0164442568930419,0.8401744757105492,-0.0726974265294157,0.1090269207717999,-1.2049804899584364,-0.07138437194947354,-0.737752161449158,0.0027943219048405014,-1.1565822921077342,0.35761531428127935,-2.022989808536842,1.7069880537089666,2.2077340142271016,1.1346960215628767,0.6507796575932417,1.31244273120412,-0.32290445475322965,1.7121077847367798,1.4188959805415766,0.12547764776038065,-0.06885590127339862,-0.444798251846758,-0.21001478775166627,-0.7404418216444396,0.3110780493364527,-0.2985788634424965,1.6315672801279706,-1.2378846038440248,-1.480720004545568,0.27503899586615416,0.7321228627188114,-1.5739331912001173,0.4147511564991054,-0.7997166402766936,-0.41812400912594816,-1.093448073340465,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,0.2721447526520108,-0.6260123544509935,-0.8481366428432413,-0.8322126830135301,1.2478878071082955,0.7474767408939709,0.1844380403622936,-0.2989924438178555,0.5377739319991385,-1.7039317915755032,-1.8603854267631923,-0.4322041363610914,-0.593843512192365,0.3733515941916578,0.5869777303782185,-0.47491815212274735,0.35308244117875864,0.8142414914557933,-1.3688172988754004,0.44813445628707543,-0.06885590127339862,-0.444798251846758,-0.21001478775166627,-0.7404418216444396,0.3110780493364527,-0.2985788634424965,1.6315672801279706,-1.2378846038440248,-1.480720004545568,0.27503899586615416,0.7321228627188114,-1.5739331912001173,0.4147511564991054,-0.7997166402766936,-0.41812400912594816,-1.093448073340465,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0.2721447526520108,-0.6260123544509935,-0.8481366428432413,-0.8322126830135301,1.2478878071082955,0.7474767408939709,0.1844380403622936,-0.2989924438178555,0.5377739319991385,-1.7039317915755032,-1.8603854267631923,-0.4322041363610914,-0.593843512192365,0.3733515941916578,0.5869777303782185,-0.47491815212274735,0.35308244117875864,0.8142414914557933,-1.3688172988754004,0.44813445628707543,-0.06885590127339862,-0.444798251846758,-0.21001478775166627,-0.7404418216444396,0.3110780493364527,-0.2985788634424965,1.6315672801279706,-1.2378846038440248,-1.480720004545568,0.27503899586615416,0.7321228627188114,-1.5739331912001173,0.4147511564991054,-0.7997166402766936,-0.41812400912594816,-1.093448073340465,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,-0.20656770382019587,0.03953762238638104,0.20193729591506193,-0.5749405246455347,-0.3253804883864019,1.1201855290532219,1.5748171138626523,0.2878151561984984,0.9650463711217394,-0.4733143865487507,-1.315182499639785,0.7465344173509862,-0.8438828857470388,-0.7540238078772672,-0.7273419702512691,-1.0757858817510346,0.9687133642596784,0.2332691840386854,0.35055077166321197,0.8066420213167363,-0.06885590127339862,-0.444798251846758,-0.21001478775166627,-0.7404418216444396,0.3110780493364527,-0.2985788634424965,1.6315672801279706,-1.2378846038440248,-1.480720004545568,0.27503899586615416,0.7321228627188114,-1.5739331912001173,0.4147511564991054,-0.7997166402766936,-0.41812400912594816,-1.093448073340465,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,-0.20656770382019587,0.03953762238638104,0.20193729591506193,-0.5749405246455347,-0.3253804883864019,1.1201855290532219,1.5748171138626523,0.2878151561984984,0.9650463711217394,-0.4733143865487507,-1.315182499639785,0.7465344173509862,-0.8438828857470388,-0.7540238078772672,-0.7273419702512691,-1.0757858817510346,0.9687133642596784,0.2332691840386854,0.35055077166321197,0.8066420213167363,-0.06885590127339862,-0.444798251846758,-0.21001478775166627,-0.7404418216444396,0.3110780493364527,-0.2985788634424965,1.6315672801279706,-1.2378846038440248,-1.480720004545568,0.27503899586615416,0.7321228627188114,-1.5739331912001173,0.4147511564991054,-0.7997166402766936,-0.41812400912594816,-1.093448073340465,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
