,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoals.,X3PointShots,X3PointShots.,Assists,Opp.FieldGoals.,Opp.3PointShots.,Opp.TotalRebounds,Opp.Blocks,v.TeamPoints,v.OpponentPoints,v.FieldGoals,v.FieldGoals.,v.X3PointShots,v.X3PointShots.,v.Assists,v.Opp.FieldGoals,v.Opp.FieldGoals.,v.Opp.3PointShots,v.Opp.3PointShots.,v.Opp.TotalRebounds,v.Opp.Blocks,h._ATL,h._BOS,h._BRK,h._CHI,h._CHO,h._CLE,h._DAL,h._DEN,h._DET,h._GSW,h._HOU,h._IND,h._LAC,h._LAL,h._MEM,h._MIA,h._MIL,h._MIN,h._NOP,h._NYK,h._OKC,h._ORL,h._PHI,h._PHO,h._POR,h._SAC,h._SAS,h._TOR,h._UTA,h._WAS,a._ATL,a._BOS,a._BRK,a._CHI,a._CHO,a._CLE,a._DAL,a._DEN,a._DET,a._GSW,a._HOU,a._IND,a._LAC,a._LAL,a._MEM,a._MIA,a._MIL,a._MIN,a._NOP,a._NYK,a._OKC,a._ORL,a._PHI,a._PHO,a._POR,a._SAC,a._SAS,a._TOR,a._UTA,a._WAS
0,1,-0.4090017736745956,-0.40109179795451344,-0.7230383196165017,-0.1476768932992508,-0.21306417961219196,-0.835824478155207,0.5837170275827528,-1.2807812363253066,-0.010767949321313686,0.05798569127690303,0.338298266418259,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,-0.4090017736745956,-0.40109179795451344,-0.7230383196165017,-0.1476768932992508,-0.21306417961219196,-0.835824478155207,0.5837170275827528,-1.2807812363253066,-0.010767949321313686,0.05798569127690303,0.338298266418259,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1,0.7557641470074064,-0.03731086492600049,-0.37667265752476814,-0.023646149078122656,1.7653889167867198,0.09616262711635351,1.234144572603532,-0.6013458853240894,-1.8423448529296218,0.44683091513382,0.47361757298556373,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1,0.7557641470074064,-0.03731086492600049,-0.37667265752476814,-0.023646149078122656,1.7653889167867198,0.09616262711635351,1.234144572603532,-0.6013458853240894,-1.8423448529296218,0.44683091513382,0.47361757298556373,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,0,0.18079063908803988,1.697644354133086,-0.9741534246330087,-0.7169690861991093,0.8826944583933631,-1.0854521197791902,-0.47809204163920765,0.05072965288516252,0.7101718957159702,1.9067059661053956,1.0148947992547785,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,0,0.18079063908803988,1.697644354133086,-0.9741534246330087,-0.7169690861991093,0.8826944583933631,-1.0854521197791902,-0.47809204163920765,0.05072965288516252,0.7101718957159702,1.9067059661053956,1.0148947992547785,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0,-0.03852915259253377,-0.28294072568885065,-1.0867222648128263,-0.937369041757529,0.5098321440720273,-0.41033778557186884,0.26128285996561346,-0.013109910296172709,0.7173505285968538,0.29675030241711814,0.8989068221970878,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,1,-0.03852915259253377,-0.28294072568885065,-1.0867222648128263,-0.937369041757529,0.5098321440720273,-0.41033778557186884,0.26128285996561346,-0.013109910296172709,0.7173505285968538,0.29675030241711814,0.8989068221970878,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,1,-0.4949514217656314,-0.8923515194802102,-0.3506952328678914,-0.7392767740086646,-1.0044454181717568,-1.1928117651214183,0.07226972722453032,-0.29696796801315056,-0.8568211102825963,-0.34450322464516037,-0.4929489024951793,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,0,-0.4949514217656314,-0.8923515194802102,-0.3506952328678914,-0.7392767740086646,-1.0044454181717568,-1.1928117651214183,0.07226972722453032,-0.29696796801315056,-0.8568211102825963,-0.34450322464516037,-0.4929489024951793,1.040287119998422,0.43840266288051755,1.5716341917412493,1.584291988234616,-0.022828304958449296,1.0327602693044549,0.5948354471557572,0.2698428861625701,0.754104840079418,0.21814927590004052,0.3943120489571071,-0.4331872230686697,-0.5509428910240232,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
