,Team,Game,Home,Opponent,WINorLOSS
4920,ATL,1,Home,WAS,W
4921,ATL,2,Away,PHI,W
4922,ATL,3,Home,SAC,W
4923,ATL,4,Home,LAL,L
4924,ATL,5,Away,WAS,L
4925,ATL,6,Home,HOU,W
4926,ATL,7,Away,CLE,W
4927,ATL,8,Home,CHI,W
4928,ATL,9,Home,PHI,W
4929,ATL,10,Away,MIA,W
4930,ATL,11,Home,MIL,W
4931,ATL,12,Away,CHO,L
4932,ATL,13,Away,NYK,L
4933,ATL,14,Home,NOP,L
4934,ATL,15,Away,IND,W
4935,ATL,16,Away,UTA,L
4936,ATL,17,Away,LAL,L
4937,ATL,18,Away,GSW,L
4938,ATL,19,Away,PHO,L
4939,ATL,20,Home,DET,L
4940,ATL,21,Away,TOR,L
4941,ATL,22,Home,OKC,L
4942,ATL,23,Home,MIA,W
4943,ATL,24,Away,MIL,W
4944,ATL,25,Home,ORL,L
4945,ATL,26,Away,TOR,W
4946,ATL,27,Home,CHO,L
4947,ATL,28,Away,OKC,W
4948,ATL,29,Home,MIN,L
4949,ATL,30,Away,DEN,W
4950,ATL,31,Away,MIN,L
4951,ATL,32,Home,NYK,W
4952,ATL,33,Home,DET,W
4953,ATL,34,Home,SAS,W
4954,ATL,35,Away,ORL,W
4955,ATL,36,Away,NOP,W
4956,ATL,37,Away,DAL,W
4957,ATL,38,Away,BRK,W
4958,ATL,39,Home,BOS,L
4959,ATL,40,Home,MIL,W
4960,ATL,41,Away,NYK,W
4961,ATL,42,Away,DET,L
4962,ATL,43,Home,CHI,W
4963,ATL,44,Home,PHI,W
4964,ATL,45,Home,LAC,L
4965,ATL,46,Away,CHI,W
4966,ATL,47,Home,WAS,L
4967,ATL,48,Home,NYK,W
4968,ATL,49,Away,MIA,L
4969,ATL,50,Away,HOU,W
4970,ATL,51,Home,ORL,W
4971,ATL,52,Home,UTA,L
4972,ATL,53,Home,DEN,W
4973,ATL,54,Away,SAC,L
4974,ATL,55,Away,POR,W
4975,ATL,56,Away,LAC,L
4976,ATL,57,Home,MIA,L
4977,ATL,58,Away,ORL,L
4978,ATL,59,Away,BOS,W
4979,ATL,60,Home,DAL,W
4980,ATL,61,Home,CLE,L
4981,ATL,62,Home,IND,L
4982,ATL,63,Home,GSW,L
4983,ATL,64,Home,BRK,W
4984,ATL,65,Home,TOR,W
4985,ATL,66,Away,MEM,W
4986,ATL,67,Away,SAS,L
4987,ATL,68,Home,MEM,L
4988,ATL,69,Home,POR,L
4989,ATL,70,Away,CHO,L
4990,ATL,71,Away,WAS,L
4991,ATL,72,Away,MIL,L
4992,ATL,73,Home,BRK,L
4993,ATL,74,Home,PHO,W
4994,ATL,75,Away,PHI,W
4995,ATL,76,Away,CHI,L
4996,ATL,77,Away,BRK,L
4997,ATL,78,Home,BOS,W
4998,ATL,79,Away,CLE,W
4999,ATL,80,Home,CLE,W
5000,ATL,81,Home,CHO,W
5001,ATL,82,Away,IND,L
5002,BOS,1,Home,BRK,W
5003,BOS,2,Away,CHI,L
5004,BOS,3,Away,CHO,W
5005,BOS,4,Home,CHI,W
5006,BOS,5,Away,CLE,L
5007,BOS,6,Home,DEN,L
5008,BOS,7,Away,WAS,L
5009,BOS,8,Home,NYK,W
5010,BOS,9,Away,IND,W
5011,BOS,10,Away,NOP,L
5012,BOS,11,Home,DAL,W
5013,BOS,12,Home,GSW,L
5014,BOS,13,Away,DET,W
5015,BOS,14,Away,MIN,W
5016,BOS,15,Away,BRK,W
5017,BOS,16,Home,SAS,L
5018,BOS,17,Away,MIA,W
5019,BOS,18,Home,DET,L
5020,BOS,19,Home,SAC,W
5021,BOS,20,Away,PHI,W
5022,BOS,21,Away,HOU,L
5023,BOS,22,Away,ORL,W
5024,BOS,23,Home,TOR,L
5025,BOS,24,Away,OKC,L
5026,BOS,25,Away,SAS,L
5027,BOS,26,Home,CHO,W
5028,BOS,27,Away,MIA,W
5029,BOS,28,Away,MEM,W
5030,BOS,29,Away,IND,W
5031,BOS,30,Home,OKC,L
5032,BOS,31,Away,NYK,W
5033,BOS,32,Home,MEM,W
5034,BOS,33,Away,CLE,L
5035,BOS,34,Home,MIA,W
5036,BOS,35,Home,UTA,W
5037,BOS,36,Home,PHI,W
5038,BOS,37,Home,NOP,W
5039,BOS,38,Away,TOR,L
5040,BOS,39,Home,WAS,W
5041,BOS,40,Away,ATL,W
5042,BOS,41,Home,CHO,W
