,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoals.,X3PointShots.,FreeThrows,FreeThrows.,Steals,Blocks,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrows.,Opp.TotalRebounds,Opp.Blocks,v.TeamPoints,v.OpponentPoints,v.FieldGoals,v.FieldGoals.,v.X3PointShots,v.X3PointShots.,v.FreeThrows,v.Steals,v.Blocks,v.Opp.FieldGoals.,v.Opp.3PointShots,v.Opp.3PointShots.,v.Opp.FreeThrows.,v.Opp.TotalRebounds,v.Opp.Assists,v.Opp.Blocks,h._ATL,h._BOS,h._BRK,h._CHI,h._CHO,h._CLE,h._DAL,h._DEN,h._DET,h._GSW,h._HOU,h._IND,h._LAC,h._LAL,h._MEM,h._MIA,h._MIL,h._MIN,h._NOP,h._NYK,h._OKC,h._ORL,h._PHI,h._PHO,h._POR,h._SAC,h._SAS,h._TOR,h._UTA,h._WAS,a._ATL,a._BOS,a._BRK,a._CHI,a._CHO,a._CLE,a._DAL,a._DEN,a._DET,a._GSW,a._HOU,a._IND,a._LAC,a._LAL,a._MEM,a._MIA,a._MIL,a._MIN,a._NOP,a._NYK,a._OKC,a._ORL,a._PHI,a._PHO,a._POR,a._SAC,a._SAS,a._TOR,a._UTA,a._WAS
1,1,-0.6191800378992037,0.7781829634717438,-0.8251877927615412,-0.8213011487172734,0.15656139992824608,-0.4394039079441805,0.5757610382340111,0.23018098772360113,-0.7162674678459254,0.8069758964631332,1.1266771712591912,0.9702093740949892,-0.315316590047939,0.9060298214920439,0.8341658645252084,1.5290131017341708,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,-0.33668941052874085,-1.6914539230473808,-0.6448188763109388,-0.5240126800407661,1.908092061625504,-0.29766071183315507,-0.0005131560055491438,-0.469569214956146,-0.3425627020132692,-2.021248995571064,-1.4824699621831492,-2.4720326004686823,-0.019956746205563935,0.08648848156966647,0.5432772553574334,-0.4936184029220557,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0.22500706947530308,1.2576502172489525,-0.834206238584074,-1.217964133608682,-0.46424804006500253,0.5102755059996953,0.25811747079474645,-2.2189447216555154,-0.07785515954846971,0.4354270813886165,-1.8975615515944309,0.6094110013926196,0.9619151671082761,-0.2023662529931414,2.588053066860264,1.4326973157981617,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0.6947298568471165,0.5726969975672257,-0.21193347682947744,-0.6233871962556521,0.17286987908742849,2.0765378230265363,-1.0540224354123395,-1.298220770761108,-0.3581337339229638,0.6663265027440886,0.9043066769317204,1.128058662152298,-1.1854307246106086,1.8196168889464983,0.4748328767297264,0.34914472401804103,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,-0.7242928294788968,1.1282701646424105,-0.44641306821525,-1.6037710789135924,-0.7675857524259793,-1.162294208110416,-0.6850632674174597,-0.13810859263416123,-1.6349583505178746,1.012089595636771,1.7789639546197789,0.37150957439197935,-0.28338579611903253,1.8590825067501722,1.8094982599700737,0.8307236536980941,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1.4403737221156327,1.1853495996158803,0.8251877927615306,1.2221395334496592,1.0894064078340506,0.8929821354994673,0.2437491026391742,-0.9115167113854622,-1.2768246165949113,1.1925896509095886,1.289748867099338,0.7232879877768201,-1.1934134230928313,-0.2938928985377329,0.4234995927589461,-1.143749957990129,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,1.1808765179032477,0.6449976152002979,1.0957411674374447,0.7377931518980401,0.5947158733385558,0.2551377529998466,-0.08928914496677033,0.08286515558049619,0.14013928718724705,1.298076696198904,0.35579279092395577,1.0186916554268928,-0.8341919913926501,-1.6516780897821057,-1.0138323584229567,0.012039473242002685,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,1.1808765179032477,0.6449976152002979,1.0957411674374447,0.7377931518980401,0.5947158733385558,0.2551377529998466,-0.08928914496677033,0.08286515558049619,0.14013928718724705,1.298076696198904,0.35579279092395577,1.0186916554268928,-0.8341919913926501,-1.6516780897821057,-1.0138323584229567,0.012039473242002685,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,-0.43523265263470834,-0.6716346848545853,-0.058619897846447076,-0.5515703189911206,1.2503167355380813,-1.0843354502493512,-1.2736532057903582,-0.0644506765626074,-1.1211142974979709,-0.1470958242645152,0.6671114829824165,-0.2677800422400591,-1.177448026128379,0.8758008376424478,0.4577217820728046,0.22874999159802648,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,2.179448037910435,0.4395116492957843,2.6920060780253356,3.051799743759303,2.5419482849461015,-0.042522958833306396,1.6657043940352625,0.5248126520098083,3.4100559882229953,-1.3988754283642133,-0.1334222965964829,-0.20915030667591125,0.21154150977899816,-0.34343484429123394,-0.4491662347443487,-2.0105920314142276,-0.9082402147433846,-0.2834945270349327,-0.8432246844066014,-0.9206756649321594,0.8723069011461556,0.17830603880716914,-1.4245191209158137,-1.0035891064749034,-1.3235377123239935,0.7425115910085773,0.07412349810915692,0.24974012360493467,-0.3661065821784349,1.7838316179846763,0.038288783224341,-0.5176973494060594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
